,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,U_ng_1s_%,Th_ng,Th_ng_1s,Th_ng_1s_%,Sm_ng,Sm_ng_1s,Sm_ng_1s_%,He_pmol,He_pmol_1s,He_pmol_1s_%mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU,He_pmol_1s_%,mass_morph_g
EM_DUR_1,,,31.95408821658762,0.5052880822135987,1.581294007792404,NaN,1,31.95408821658762,0.5052880822135987,1.581294007792404,0.1595053437639362,0.003447040038204124,2.1610812257836667,4.325011122345136,0.06731041975434326,1.5563062810771633,2.9185224653267876,0.1543734784469982,0,0.20508568922821901,0.0016062527361658465,,0,0,0,0,0.7832105410233724,NaN
EM_20UM07_A1,,Little indentations maybe from tweezers. Not inclusions. A little rugged on the side. ,24.027112660929998,3.137085374300691,13.056439275792975,44.54016006860083,0.6629948995286833,15.96650169001596,2.1139403086799122,13.239846459301624,0.0027738436540706646,0.00037115333346079884,13.380470558105348,0.012075320169617773,0.0026353939611097788,21.82463010579701,0.02079330977108264,0.0029940401716899395,14.39905529543818,0.00048780981355153654,1.7779544370395875e-05,,1.2405873684513897,5.400625103887874,9.299701305243365,2.5097342678650403,3.6447697189506183,2.2359115727038396e-06
EM_20UM07_A2,,Little rugged. A black dot like inclusions but does not glow in xpl (could just be tweezer marks). ,8.690280463179352,0.5154840486169392,5.931730866466749,74.7636387629527,0.8030688543189651,6.983550007101982,0.4155132694220518,5.949886075126432,0.031518516050618145,0.001547318715391762,4.909237201734997,0.004877429585824215,0.003035638575295543,62.23849103056942,0.08307430804366603,0.008104576748012307,9.755816134817914,0.0012336553826305045,3.882265457326257e-05,,2.935877631660362,0.45432140263275306,7.738181656755958,3.042643161279059,3.1469610654542457,1.0735636836741422e-05
EM_20UM07_A3,,"Clear, the spots are indentations of tweezers (double checked under xpl)",36.53288457593356,5.006528874305679,13.704170728428561,44.303178775657294,0.6693287526169736,24.535862770795013,3.4222492162873017,13.947947330227157,0.004522257321581757,0.0005843557808095015,12.921772010202872,0.008646792165739544,0.0029811061814699093,34.47644079247903,0.037605752628920186,0.003079623935460729,8.189236274166166,0.0008765886168988726,2.3948556488897645e-05,,1.6452315692580226,3.14576867972471,13.681258497950077,2.3844872089933293,2.732017736395094,2.7487056570530278e-06
EM_20UM07_A4,,"Clear, a tiniest dot (not an inclusion, looks like my tweezers mark). A little cracked/broken.",48.57608714674573,70.49427222815251,145.1213474959256,39.941649193447326,0.6210590141335928,30.540445840277066,45.48095158031222,148.92039172634298,0.0002191084153633085,0.0003170477298276304,144.69902002710694,0.002025460275283051,0.004284326541757814,211.52360251346298,0.015625851631789756,0.0022904270653457803,14.657934295792613,0.00011845267789983767,2.024359845033035e-05,,0.12655668093868197,1.1699027140876193,9.025467671246538,0.4014838187492725,17.0900302207166,1.7313065871999977e-06
EM_20UM07_A5,,Two small inclusions otherwise good (best choice among others). ,58.420838908419896,9.964578064091915,17.056547372954228,55.10597425902056,0.7358008635237966,43.134983586424696,7.553854993782442,17.512131373940683,0.0035277684316453958,0.00039560505138026386,11.214031165751678,0.0017567785859745116,0.0023869730305776512,135.87216110410188,0.02836881901223457,0.003700325367525772,13.043635570200998,0.0009279423657763467,2.932649589073766e-05,,0.9002552880097964,0.44831435014238513,7.239471588118166,1.0056091602932569,3.1603790248548638,3.918631168992375e-06
EM_23UM01_A1,,"Rough structure, one dot inclusion, lines becauser of abraded crystal structure",82.3147262151606,10.349568888782898,12.573168088697026,49.53740917044248,0.701380521892481,58.013796453798484,7.342093766914328,12.655771929633127,0.004371120062221772,0.0006148011418198794,14.06507103598947,0.007969105102326433,0.002194379741667047,27.536087345948523,0.051579450098881194,0.004775525037398109,9.258580749199757,0.001985092381200777,3.7613746253791326e-05,,1.5697372869625095,2.8618297472448404,18.522983791042805,2.242267277565047,1.894810871776097,2.7846188649057487e-06
EM_23UM01_A2,,Rough crystal structure on the sides mainly a little dirtyish,49.89661349636572,14.089594486272292,28.237576658982128,44.28653826631845,0.6666537948727451,33.39682996599477,9.678440186632855,28.980116365797628,0.0017917299136369143,0.0003784583172359213,21.122509277512354,0.004534393284348217,0.0030988299332216133,68.34056375123284,0.0182809221209104,0.004127510248537377,22.578238784881517,0.0005211726047286012,2.818738343243354e-05,,1.2470909747174945,3.156056556120097,12.724000873672226,1.9887642654057172,5.408454545900781,1.4367275122352623e-06
EM_DUR_2,,,59.542798994078765,6.669675555947301,11.201481402663935,NaN,1,59.542798994078765,6.669675555947301,11.201481402663935,0.16319596455929808,0.004532024594005086,2.7770445220527207,2.7703878590543933,0.3865092230398482,13.951448053622862,2.570053110165675,0.12847882306669572,0,0.2649710603893424,0.0020327573657172317,,0,0,0,0,0.7671620299704973,NaN
EM_23UM07_A1,,Three little dot inclusions and rough edges (lost and found twice),37.302005870368404,3.4429313203195773,9.229882522361992,46.86927830332621,0.6781867596714262,25.438975821262897,2.3942218795430277,9.411628425472392,0.004607005564985807,0.00036424725215438044,7.906377516075402,0.019748960334051466,0.0032181877975355926,16.295479575128535,0.10946275449638522,0.0053181500284863095,4.858410564354957,0.001294013174276238,3.841233650487579e-05,,1.8998933358269887,8.144317952064707,45.141590314008816,3.8138080545621946,2.9684656438185346,2.4248759012465624e-06
