,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,U_ng_1s_%,Th_ng,Th_ng_1s,Th_ng_1s_%,Sm_ng,Sm_ng_1s,Sm_ng_1s_%,He_pmol,He_pmol_1s,He_pmol_1s_%mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU,He_pmol_1s_%,mass_morph_g
RK24-FCT_07,,"clear but many small to medium inclusions, some round some needley, sides abraded, tips chipped and rounded",28.206635460874697,0.5464698064707748,1.9373803275076202,76.03813155558318,0.834244229156682,23.541327654973085,0.45466435267278377,1.931345416607106,4.322782354410732,0.087589500698254,2.0262297177391417,2.0799607480089652,0.05759273885850125,2.7689339288557093,0,0,0,0.6119894357578135,0.004643038461067798,,262.5970611194677,126.3518574127841,0.0,292.28974761147197,0.758679511406667,1.6461655495999996e-05
Z061124-Aqf_05,,"dark but clear interior, 2 very small inclusions visible, not much surface staining, one end very rounded the other may be chipped, one face looks slightly lumpy",9.003339017902004,0.218850201165134,2.4307670824121805,47.80907921542488,0.7470123789397851,6.72688777885215,0.1631184683072554,2.424872744570882,8.838911528469719,0.21417864576701473,2.423133720449123,0.5692035884184523,0.015080084098757553,2.6493304690256747,0,0,0,0.32534258604059796,0.0025248000308130954,,2017.0428148739045,129.89246521156824,0.0,2047.567544198623,0.7760435120221358,4.382113985529e-06
Z061124-Aqf_06,,"mostly clear but dark interior, mild cloudiness esp near core, both tips present, one slightly rounded, one small inclusion visible, view b one end broken!",5.136278822297647,0.0950682773546805,1.8509173789781328,49.35387623711439,0.7543686929679422,3.8750310722451204,0.07157741856901734,1.8471443772848695,9.983518323628873,0.17649675347718558,1.7678812995159747,0.5960839583313293,0.015355195618723737,2.576012221786491,0,0,0,0.211395204838726,0.0016339847864235133,,2269.6705420357043,135.5147711406103,0.0,2301.5165132537477,0.7729526257088399,4.3986640962765e-06
Z061124-Aqf_07,,"cloudy interior, mild yellow surface staining, no inclusions visible, one tip half broken, one tip euhedral!",8.030928769352801,0.15685155569196907,1.9530935984706719,50.96609384881332,0.7617448946382711,6.118465687789965,0.11927200903699767,1.949377754540936,11.70295017560566,0.22005753082665394,1.8803594608593246,0.43560845625523503,0.009973644784325756,2.289589341323971,0,0,0,0.38928938740365526,0.0029693757795783387,,2421.4404685229915,90.13111468302603,0.0,2442.621280473503,0.7627682324921394,4.833053022667999e-06
Z061124-Aqf_08,,"cloudy interior, red staining near tips, no inclusions visible, both tips present but slightly rounded and chipped",7.9797063529040475,0.13699420429976394,1.7167825260876644,47.207291197576005,0.7440587177150395,5.9383728245494405,0.10172833733214232,1.7130675411889569,10.344724378056888,0.16732228403588936,1.6174648827842284,0.645693883058814,0.018164334992886142,2.8131496161675136,0,0,0,0.3359552557696711,0.002558277306075995,,2296.617397739839,143.34957136147588,0.0,2330.304547009786,0.7614934614477157,4.504330755413332e-06
Z061024-Wvdg_01,,"several dark moderate-size inclusions including at least one of zircon, interior mostly cloudy, both tips present but chipped",419.8356307873241,8.092748986399588,1.927599372931529,97.64356158637376,0.8695707327166525,366.8276951075841,7.022034644497481,1.9142596750875212,11.715859667309621,0.2271764151642176,1.9390503267814014,5.509693879176902,0.12057520871452744,2.1884193815236115,0,0,0,26.586321917308222,0.20079821174665635,,316.2177583944288,148.70979146107427,0.0,351.16455938778125,0.7552688648365938,3.704997381170492e-05
Z061024-Wvdg_02,,"cloudy and dark interior, mild surface staining, some dark inclusions, both tips intact but somewhat rounded",316.38758123766246,4.931293575516564,1.5586242532738033,92.84736577047754,0.8630209482842789,274.079252669642,4.248107970677438,1.5499560544255575,10.18245088371356,0.15207371521875562,1.4934883257035072,4.997181058797345,0.1154030092545737,2.309362176329616,0,0,0,17.19353506948513,0.13049600347840165,,339.0137286527032,166.37575794303316,0.0,378.112031769316,0.7589829720939956,3.003551190738e-05
Z061024-Wvdg_03,,"mostly clear interior but spiderwebbing fractures, some small dark inclusions visible, both ends blunted/rounded, tips euhedral in view b",346.1173480559758,5.893755199948223,1.7028199346410848,79.09533421918012,0.8401078128537236,292.17150471062024,4.937463820148755,1.6899197014572112,9.825186692833059,0.1668211333837325,1.697892758673171,5.281083275507278,0.0874552904794971,1.6560104417421162,0,0,0,17.887089668444812,0.13636226288004064,,341.84824671051257,183.7450131895472,0.0,385.0283248100562,0.7623501945126472,2.8741369269485603e-05
RK24-FCT_08,,"clear, few very small inclusions and one big inclusion, minor surface yellowing in one spot, both tips present and only mildly chipped/abraded",25.440103988239052,0.4595479431510293,1.8063917638209266,59.99068487752456,0.792522892109073,20.171750288721178,0.362865609380455,1.7988801377506018,2.7392960423173083,0.05130197923430047,1.8728161703508888,1.375498101986658,0.029128255320761135,2.117651436864264,0,0,0,0.3336874280113772,0.002549988745389461,,294.6854740956007,147.97207167088092,0.0,329.4589109382577,0.7641848422597805,9.295660231384995e-06
Z061024-Wvdg_04,,"mostly clear interior, some cloudy fractures, few very small inclusions, one end euhedral the other slightly rounded",423.5401252702215,7.213464815505305,1.7031361103987646,81.24960595623854,0.8441227660669968,359.57143053488056,6.072008750228268,1.6886794207192295,8.36034745395094,0.14228517938280974,1.7019050962477462,4.556722241925914,0.07521553197929762,1.6506499186465122,0,0,0,18.874312656487927,0.1388138194054394,,311.8934176595523,169.99433111932842,0.0,351.8420854725945,0.7354642361385437,2.6805142335759998e-05
