,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
RS23_G168_375_4,zirc,1.701200746,0.00360604,7676,1170,,1682051820.0,10000-3783-15352-001.csv
std1171,std,1.1727821000000005,0.001496022,7677,1171,,1682052654.0,10000-3784-15354-001.csv
lb02_04212023,lb,0.004015597,6.3e-05,7679,1171,,1682095212.0,10000-3786-15358-001.csv
std1172,std,1.168643675,0.002834925,7680,1172,,1682096161.0,10000-3787-15360-001.csv
RS23_G168_355_4,zirc,1.449010793,0.002417784,7681,1172,,1682106729.0,10000-3788-15362-001.csv
std1173,std,1.168787182,0.0021798860000000002,7682,1173,,1682107822.0,10000-3789-15364-001.csv
RS23_G168_325_4,zirc,0.4647203070000001,0.001136412,7685,1173,,1682137831.0,10000-3792-15370-001.csv
std1174,std,1.169008146,0.001331286,7686,1174,,1682138780.0,10000-3793-15372-001.csv
lb02_04222023,lb,0.004031664,8.08e-05,7688,1174,,1682186953.0,10000-3795-15376-001.csv
std1175,std,1.175116845,0.0018669829999999998,7689,1175,,1682187991.0,10000-3796-15378-001.csv
RS23_G168_285_4,zirc,0.100358981,0.000327469,7690,1175,,1682200098.0,10000-3797-15380-001.csv
RS23_G168_250_4,zirc,0.027348072999999997,0.00024213599999999997,7691,1175,,1682216401.0,10000-3798-15382-001.csv
std1176,std,1.172482352,0.00184307,7692,1176,,1682217062.0,10000-3799-15384-001.csv
lb02_04242023,lb,0.00380057,7.91e-05,7694,1176,,1682362157.0,10000-3801-15388-001.csv
cb01_04242023,hb,0.004041222,5.9e-05,7695,1176,,1682364738.0,10000-3802-15390-001.csv
std1177,std,1.163355438,0.001853375,7696,1177,,1682365350.0,10000-3803-15392-001.csv
RS23_G168_290_5,zirc,0.123238642,0.00044143,7697,1177,,1682377994.0,10000-3804-15394-001.csv
std1178,std,1.175915269,0.001860726,7698,1178,,1682379876.0,10000-3805-15396-001.csv
lb02_04252023,lb,0.004146999,7.609999999999999e-05,7700,1178,,1682440978.0,10000-3807-15400-001.csv
std1179,std,1.154979465,0.002303412,7701,1179,,1682441520.0,10000-3808-15402-001.csv
RS23_G168_320_5,zirc,0.3673190220000001,0.0008741389999999999,7702,1179,,1682456749.0,10000-3809-15404-001.csv
std1180,std,1.173788897,0.002398478,7703,1180,,1682457591.0,10000-3810-15406-001.csv
RS23_G168_350_5,zirc,1.19155949,0.001998451,7704,1180,,1682467729.0,10000-3811-15408-001.csv
std1181,std,1.169395682,0.002266012,7705,1181,,1682468630.0,10000-3812-15410-001.csv
lb02_04262023,lb,0.0039768391860586574,9.947659674846859e-05,7707,1181,,1682524259.8890815,10000-3814-15414-001.csv
std1182,std,1.1705753840192863,0.0018770931910870078,7708,1182,,1682525240.144898,10000-3815-15416-001.csv
RS23_G168_380_5,zirc,3.411739000775833,0.004182513599512972,7709,1182,,1682535629.4780526,10000-3816-15418-001.csv
