,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,U_ng_1s_%,Th_ng,Th_ng_1s,Th_ng_1s_%,Sm_ng,Sm_ng_1s,Sm_ng_1s_%,He_pmol,He_pmol_1s,He_pmol_1s_%mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU,He_pmol_1s_%,mass_morph_g
FCTVV_EM_z1,,"Clear, few inclusions, tips abraded on one side",26.59001633650685,0.5048261586552661,1.8985552782912867,47.7764588069102,0.7436847656841696,19.787091801045573,0.3736286409337822,1.888244339746982,1.156861629158673,0.022908242986527962,1.9802059649249466,0.5740443384942702,0.01248405165650843,2.174753903026785,0,0,0,0.13805757623988074,0.0010676775528360625,,310.60297440567405,154.1237728722374,0.0,346.8220610306498,0.7733567268926471,3.724567130666666e-06
z24TR01_EM_z2,,"Yellowish, fractured (only one) inclusion +nt, Clear (Mod) pic looks dark but not as dark",42.41889769011526,0.7100640652090735,1.673933326594994,54.588334278659666,0.775464242988146,32.922329962977564,0.549338326238892,1.668588847923717,2.773953496376973,0.04424021326073084,1.594843364119566,0.4989795838587749,0.01246198639392851,2.4974942456674936,0,0,0,0.5144309049520731,0.003961937071606059,,550.6215318479304,99.0459656890455,0.0,573.8973337848562,0.7701592251684748,5.0378587394999985e-06
z24TR01_EM_z3,,Dark + Big. Tips are comparatively a little clear,34.22701766257429,1.234882987708064,3.607918749690988,114.60157333795898,0.8878669417935435,30.399620821388158,1.0934513671980455,3.5969243617299647,62.34233272046121,2.579940422830598,4.13834438053333,37.221990164766446,0.6818781906273634,1.8319229778122261,0,0,0,11.685273818751096,0.09552833164083847,,1260.8837783278464,752.8207808051595,0.0,1437.7966618170587,0.8175104248524011,4.944336170550002e-05
z24TR01_EM_z4,400C and 100%,"Clear, yellowish fractures, few inclusions",56.50657812424085,1.0243833854666224,1.8128568734321757,51.198472110705126,0.7622470365294798,43.123622512128904,0.7792238413938605,1.806953581357171,2.9725550776683742,0.05048261661390606,1.6982903695599085,0.30564443002062186,0.008257347990900344,2.7016189990255084,0,0,0,0.710098062657221,0.005910571597430881,,597.2902830766967,61.41465619908003,0.0,611.7227272834805,0.8323599103077733,4.976734365e-06
z24TR01_EM_z5,,"Clearish, yellowish, crooked shape, inclusions, fracture?",62.56949823334676,0.9407385794491576,1.5035098666458313,59.536376958038275,0.7917801331492722,49.59861403623354,0.7427647375893469,1.4975513973973769,8.351941862507227,0.11753540751829258,1.4072823955578735,3.1089971986227676,0.044394003691081194,1.4279203503543514,0,0,0,2.439057203012978,0.019863603925116897,,1202.6467358128164,447.68335246198876,0.0,1307.8523236413837,0.8143968046579351,6.944634374999999e-06
z24TR01_EM_z6,,"Yellowish, dark inclusions that look like fracture",61.3319275551464,1.0527557682258863,1.7164889645434747,66.60671865310812,0.812197380759704,49.86446232485638,0.8523555972778911,1.7093448069789168,3.1648487933027587,0.054345064833180315,1.7171456958127576,1.448265166713033,0.020896639013739064,1.4428738254587623,0,0,0,0.9464767952214127,0.007675472539923898,,319.5374090534993,146.22338355412433,0.0,353.8999041887185,0.8109520041775928,9.904470348799995e-06
z24TR01_EM_z7,,"Clear but rough looking, few inclusions",46.551567805157944,0.8211068956098407,1.7638651807530776,50.892517560989084,0.760398073751405,35.432972605082895,0.6229114930603656,1.7579995333809741,3.3419527483032283,0.053307758030557685,1.595108071399963,0.5794300417943422,0.009243794406876895,1.5953253611516756,0,0,0,0.6661971895431835,0.006304652405454502,,662.0663496242182,114.78951425275535,0.0,689.0418854736157,0.9463643054059788,5.047761074399998e-06
z24TR03r_EM_z1,,"Yellow/Purple, wierd tips, fracture, clear, few inclusions",98.51845499307682,2.0438574461560806,2.074593482307156,53.89860444013626,0.7738482840709549,76.39125374257,1.5792510312639771,2.0673191679585163,2.7496188794947556,0.05273032264794288,1.9177320552014872,0.09007978287868977,0.0035839660602134133,3.9786575252295315,0,0,0,1.1482967669078719,0.010664803034537774,,543.8854832289529,17.81813712638526,0.0,548.0727454536535,0.92874972236105,5.055510698999998e-06
FCTVV_EM_z2,,"Clear, few inclusions, tips good",29.52829284271419,0.5373909796618286,1.8199188910930368,37.44229408207489,0.6794998914672963,20.082101370056357,0.36291783334780436,1.807170607598551,0.7321274180285678,0.013034759856270936,1.7803949879885956,0.4230610336835962,0.00652528942447591,1.5423990641870646,0,0,0,0.09021195097557741,0.0008806449655148922,,396.929352735101,229.36627987468722,0.0,450.8304285056525,0.9761954552488332,1.8444778975999999e-06
z24TR03r_EM_z2,,"Clear, yellowish, fabricated, dark tips, fractured",31.34307362248665,0.5306787997768238,1.6931294172633269,61.962694133467004,0.800086127590552,25.09131997688876,0.4236621629947164,1.688480970251646,11.884316878474593,0.1835885010110889,1.5447964143703758,3.1082360469578862,0.05884661521611099,1.8932479492252765,0,0,0,1.709684513201787,0.015938768549847684,,1245.11258132602,325.6479819052977,0.0,1321.639857073765,0.9322637262472819,9.544772943999997e-06
z24TR03r_EM_z3,,"Weird shape, clear yellowish fabricated",44.38987334782504,0.9723021962055415,2.190369385798622,51.718761949097114,0.7632929970392393,33.914346747283616,0.7397643693818661,2.1812726481046485,4.659027652153021,0.10092156571012653,2.166150820407534,1.240766584907606,0.02777620436319018,2.238632527749653,0,0,0,0.9076206515173246,0.008475727274589439,,910.4567441592966,242.4678257993575,0.0,967.4366832221456,0.933840284530773,5.117242177666666e-06
z24TR03r_EM_z4,584 C & 100%,"yellow/brownish, rough surface, looks dark in pic (could be empty, packed w/ big tweezers)",92.9604787757014,1.56777910807206,1.6865006814937533,56.897533786557844,0.7830469136793851,72.9223485269364,1.223806335978552,1.678232202747141,4.376649533215715,0.0729894420585475,1.6677013204874778,1.422919526503697,0.02596634512671675,1.8248639254055024,0,0,0,1.8637941109211755,0.013770896226757527,,763.1112100569791,248.09979264803545,0.0,821.4146613292673,0.7388635979728091,5.7352709218999994e-06
z24TR03r_EM_z5,1090 C & 100% ,"Dark, big stubby w/ rounded tips",47.755090442314525,0.7474244869711129,1.565120032332385,80.58531223856872,0.8441462016503447,40.339103185477114,0.6297566162858925,1.5611567103767878,28.019164099934645,0.4231511055529253,1.5102203050872323,7.4122742563052,0.12847497687718754,1.7332733845877488,0,0,0,6.4936201348580465,0.047782438638254064,,1598.6270445397258,422.9056243581055,0.0,1698.0098662638807,0.7358366773220345,1.75270174464e-05
