,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
DEQ4L-109-Zr,zirc,17.05843308089552,0.016984853248605825,12906,2095,,1784227242.6468365,10000-8971-25812-001.csv
DEQ4L-109-Zr_re1,zirc,0.16949166354384715,0.0003474354032767302,12907,2095,,1784231139.487182,10000-8972-25814-001.csv
DEQ4L-203-Zr,zirc,2.2543433566828495,0.002312845741199719,12908,2095,,1784233026.0894215,10000-8973-25816-001.csv
std2096,zirc,1.2636513463743448,0.0012223932969212068,12909,2096,,1784233621.9457972,10000-8974-25818-001.csv
DEQ4L-203-Zr_re1,zirc,0.006519672281370277,9.417853900071534e-05,12910,2096,,1784235062.2714632,10000-8975-25820-001.csv
DEQ4L-99-Zr,zirc,5.9062731779257325,0.004645229892556439,12911,2096,,1784236602.1160793,10000-8976-25822-001.csv
DEQ4L-99-Zr_re1,zirc,0.007040777519887442,6.705001299132574e-05,12912,2096,,1784238042.536726,10000-8977-25824-001.csv
DEQ4L-206-Zr,zirc,1.877681668192381,0.0020727610455615808,12913,2096,"did not couple super well, power close to 100 for most of run",1784239867.2339077,10000-8978-25826-001.csv
DEQ4L-206-Zr_re1,zirc,0.04753412830352789,0.00041831425478703737,12914,2096,,1784241385.51573,10000-8979-25828-001.csv
DEQ4L-27-Zr,zirc,4.874005762212014,0.0057829630784004635,12915,2096,,1784242951.5856519,10000-8980-25830-001.csv
std2097,std,1.265434747902,0.0018186588981240657,12916,2097,,1784243511.0198052,10000-8981-25832-001.csv
DEQ4L-27-Zr_re1,std,0.004145437881861945,5.476753333471743e-05,12917,2097,,1784245005.877345,10000-8982-25834-001.csv
ISCWC423_49-Zr,zirc,11.250273564329488,0.008364584324237253,12918,2097,,1784246649.543502,10000-8983-25836-001.csv
ISCWC423_49-Zr_re1,zirc,0.0033538138029837287,6.689590096483285e-05,12919,2097,,1784248136.179533,10000-8984-25838-001.csv
std2098,std,1.2647707565411532,0.0018000088474544305,12920,2098,,1784248724.353725,10000-8985-25840-001.csv
lb02_07172026,lb,0.0028447435414821125,6.349529327564509e-05,12922,2098,,1784292678.3334112,10000-8987-25844-001.csv
