"L1, L2 = maximum length of Crystal (including tips, in two orientations)",,,,,,,,
"W1, W2 = mutually perpendicular widths of orthorhombic prism or equatorial diameters",,,,,,,,
"h1, h2 = tip heights of pyramidal terminations (zircons only)",,,,,,,,
AI = abrasion index:,,,,,,,,
"apatite: 1 = both tips present, 1.5 = one tip missing, 2 = both tips missing, DUR = durango",,,,,,,,
"zircon: 1-5 (1=euhedral, 5=rounded, 3=still has pyramids)",,,,,,,,
,,,,,,,,
sample_name,morph_comments,AI,L1_(um),L2_(um),W1_(um),W2_(um),h1_(um),h2_(um)
DEQ4L-196-Zr,"brown/black, opaque, rounded, small",4,120,115,94,82,15,14
DEQ4L-111-Zr,"strawbrown, translucent, side slightly chipped",3,205,208,121,117,23,21
FCT_Zr_26-10,"lightbrown, translucent, one point slightly chipped",2,376,375,144,165,60,55
DEQ4L-210-Zr,"brown, opaque",3,140,137,118,67,16,13
DEQ4L-93-Zr,"clear, transparent, one tip chipped",2,157,162,71,63,22,10
DEQ4L-135-Zr,"strawbrown, translucent, one tip chipped/jagged",3,140,140,109,76,23,22
DEQ4L-7-Zr,"clear, transparent, one tip chipped, small inclusion present",2,140,139,65,34,35,7
ISCWC423_13-Zr,"clear/transparent, smoothed",3,219,215,123,114,19,15
ISCWC423_60-Zr,"strawbrown, translucent",3,238,230,141,96,18,16
ISCWC423_136-Zr,"strawbrown, slightly translucent, smoothed, smaller grain",3,137,133,95,85,15,11
FCT_Zr_25-11,"Transparent, whole grain",2,467,460,174,150,78,55
ISCWC423_157-Zr,"clear/transparent, smoothed",3,192,189,145,109,21,24
ISCWC423_226-Zr,"strawbrown, translucent",3,163,165,108,101,20,17
ISCWC423_283-Zr,"strawbrown, translucent, one point kinda chipped",3,199,175,152,105,29,24
ISCWC423_23-Zr,"clear/transparent, smoothed",3,219,208,140,93,23,15
ISCWC423_191-Zr,"clear/transparent, smoothed",3,278,278,127,111,21,16
ISCWC423_145-Zr,"strawbrown, translucent",3,260,254,153,120,21,17
ISCWC423_156-Zr,"strawbrown, translucent, one point chipped",3,243,236,193,102,19,13
WC181-Zr,"brown, opaque, one point chipped",3,135,133,82,65,16,12
FCT_Zr_25-12,"Pristine, clear/trasnparent, whole grain, some minor non zircon material",1,404,401,160,147,78,83
WC196-Zr,"strawbrown, translucent",2,149,144,72,44,30,18
WC229-Zr,"brown, translucent, one side chipped",4,140,139,90,69,14,10
WC313-Zr,"strawbrown, translucent, one point chipped",3,76,98,64,56,12,5
WC163-Zr,"brown, opaque, one point chipped, rounded",4,119,115,93,100,15,13
WC92-Zr,"strawbrown, translucent, one point slightly chipped",2,152,144,62,50,20,10
WC66-Zr,"brown, opaque, both tips kinda chipped",3,107,107,96,66,13,10
