,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
Z22PR30_z3_re1,zirc,0.004701353,0.000117179,8799,1375,1.61% remaining,1691955855,10000-4901-17598-001.csv
std1376,std,1.179564276,0.002294065,8800,1376,,1691956495,10000-4902-17600-001.csv
Z22PR30_z4,zirc,0.049769637,0.000501345,8801,1376,,1691957968,10000-4903-17602-001.csv
Z22PR30_z4_re1,zirc,0.00601798,0.000100924,8802,1376,4.09% remaining,1691959436,10000-4904-17604-001.csv
Z22PR30_z4_re2,zirc,0.005054286,7.68E-05,8803,1376,"2.18% remaining, moving on",1691960613,10000-4905-17606-001.csv
Z22PR30_z5,zirc,0.04305173,0.000335492,8804,1376,,1691962042,10000-4906-17608-001.csv
Z22PR30_z5_re1,zirc,0.006204556,0.000100388,8805,1376,5.09% remaining,1691963478,10000-4907-17610-001.csv
Z22PR30_z5_re2,zirc,0.005390185,8.13E-05,8806,1376,"3.19% remaining, moving on",1691964927,10000-4908-17612-001.csv
std1377,std,1.18100763,0.001590133,8807,1377,,1691965499,10000-4909-17614-001.csv
Z22PR43_z1,zirc,0.032888512,0.000177468,8808,1377,,1691966951,10000-4910-17616-001.csv
Z22PR43_z1_re1,zirc,0.004770257,0.000107212,8809,1377,"2.59% remaining, moving on",1691968416,10000-4911-17618-001.csv
Z22PR43_z2,zirc,0.060203154,0.000400246,8810,1377,,1691969957,10000-4912-17620-001.csv
Z22PR43_z2_re1,zirc,0.005695522,0.000123531,8811,1377,"2.90% remains, moving on",1691971385,10000-4913-17622-001.csv
Z22PR43_z3,zirc,0.170717468,0.000765586,8812,1377,,1691973010,10000-4914-17624-001.csv
Z22PR43_z3_re1,zirc,0.031009076,0.000175749,8813,1377,13.70% remaining,1691974580,10000-4915-17626-001.csv
Z22PR43_z3_re2,zirc,0.011869133,0.000109824,8814,1377,3.87% remaining,1691975987,10000-4916-17628-001.csv
std1378,std,1.183458663,0.001611915,8815,1378,,1691976585,10000-4917-17630-001.csv
lb02_08142023,lb,0.003818926,6.99E-05,8817,1378,,1692044986,10000-4919-17634-001.csv
hb01_08142023,hb,0.004438837,9.03E-05,8818,1378,,1692046140,10000-4920-17636-001.csv
std1379,std,1.185307509,0.00205784,8819,1379,,1692046712,10000-4921-17638-001.csv
labFCT24,zirc,0.726171606,0.001717942,8820,1379,,1692048172,10000-4922-17640-001.csv
labFCT24_re1,zirc,0.042229098,0.000282956,8821,1379,4.95% remaining,1692049633,10000-4923-17642-001.csv
labFCT24_re2,zirc,0.013946491,0.000181168,8822,1379,1.23% remaining,1692051077,10000-4924-17644-001.csv
Z23PR03_z4,zirc,0.111586678,0.000402419,8823,1379,,1692052657,10000-4925-17646-001.csv
Z23PR03_z4_re1,zirc,0.011926699,0.000177016,8824,1379,6.29% remaining,1692054118,10000-4926-17648-001.csv
Z23PR03_z4_re2,zirc,0.008444513,0.000128723,8825,1379,3.25% remaining,1692055635,10000-4927-17650-001.csv
Z23PR03_z5,zirc,0.154801594,0.00060802,8826,1379,,1692057066,10000-4928-17652-001.csv
Z23PR03_z5_re1,zirc,0.005210424,7.51E-05,8827,1379,0.50% remaining,1692058563,10000-4929-17654-001.csv
std1380,std,1.183749457,0.002043772,8828,1380,,1692059067,10000-4930-17656-001.csv
lb02_08152023,lb,0.003824729,8.92E-05,8830,1380,,1692106159,10000-4932-17660-001.csv
hb01_08152023,hb,0.004270484,8.07E-05,8831,1380,,1692107288,10000-4933-17662-001.csv
std1381,std,1.176203642,0.001769472,8832,1381,,1692107821,10000-4934-17664-001.csv
Z22PR33_z6,zirc,0.174585104,0.000708556,8833,1381,,1692109270,10000-4935-17666-001.csv
Z22PR33_z6_re1,zirc,0.007407546,0.000122528,8834,1381,1.77% remaining,1692110704,10000-4936-17668-001.csv
Z22PR44_z6,zirc,0.210322093,0.000530043,8835,1381,,1692112125,10000-4937-17670-001.csv
Z22PR44_z6_re1,zirc,0.005727926,8.32E-05,8836,1381,0.69% remaining,1692113557,10000-4938-17672-001.csv
Z23PR02_z1,zirc,0.360002472,0.000718849,8837,1381,,1692115070,10000-4939-17674-001.csv
Z23PR02_z1_re1,zirc,0.005054929,9.56E-05,8838,1381,0.22% remaining,1692116595,10000-4940-17676-001.csv
Z23PR02_z2,zirc,0.041147899,0.000228113,8839,1381,,1692118100,10000-4941-17678-001.csv
Z23PR02_z2_re1,zirc,0.016558723,0.000142027,8840,1381,23.00% remaining,1692119500,10000-4942-17680-001.csv
std1382,std,1.185310126,0.002079753,8841,1382,,1692120114,10000-4943-17682-001.csv
Z23PR02_z2_re2,zirc,0.01744686,0.00013259,8842,1382,"19.78% remaining, moving on",1692121600,10000-4944-17684-001.csv
Z23PR02_z3,zirc,0.132846726,0.000341589,8843,1382,,1692123178,10000-4945-17686-001.csv
Z23PR02_z3_re1,zirc,0.011307025,0.000154694,8844,1382,5.03% remaining,1692124586,10000-4946-17688-001.csv
Z23PR02_z4,zirc,0.143770097,0.000490879,8845,1382,,1692126218,10000-4947-17690-001.csv
Z23PR02_z4_re1,zirc,0.005260016,9.59E-05,8846,1382,0.68% remaining,1692127689,10000-4948-17692-001.csv
labFCT25,zirc,1.069844267,0.002325823,8847,1382,,1692129220,10000-4949-17694-001.csv
labFCT25_re1,zirc,0.17178396,0.000443994,8848,1382,13.54% remaining,1692130675,10000-4950-17696-001.csv
labFCT25_re2,zirc,0.004722681,8.66E-05,8849,1382,0.04% remaining,1692132096,10000-4951-17698-001.csv
std1383,std,1.186796015,0.001540979,8850,1383,,1692132684,10000-4952-17700-001.csv
Z23PR02_z5,zirc,0.060127615,0.000289493,8851,1383,,1692134100,10000-4953-17702-001.csv
Z23PR02_z5_re1,zirc,0.005031575,7.63E-05,8852,1383,1.25% remaining,1692135521,10000-4954-17704-001.csv
Z23PR04_z1,zirc,1.024586829,0.001656695,8853,1383,,1692137152,10000-4955-17706-001.csv
Z23PR04_z1_re1,zirc,0.004901223,9.96E-05,8854,1383,,1692138675,10000-4956-17708-001.csv
Z23PR04_z2,zirc,0.666617169,0.001526886,8855,1383,,1692140253,10000-4957-17710-001.csv
Z23PR04_z2_re1,zirc,0.045980598,0.000425026,8856,1383,"5.89% remaining, move on",1692141737,10000-4958-17712-001.csv
std1384,std,1.182256399,0.002489486,8857,1384,,1692142304,10000-4959-17714-001.csv
lb02_08162023,lb,0.004165517,7.83E-05,8859,1384,,1692198733,10000-4961-17718-001.csv
hb01_08162023,hb,0.004311602,0.000107803,8860,1384,,1692199832,10000-4962-17720-001.csv
std1385,std,1.18280579,0.00252162,8861,1385,,1692200319,10000-4963-17722-001.csv
Z23PR04_z3,zirc,2.671622204,0.004008467,8862,1385,,1692201701,10000-4964-17724-001.csv
Z23PR04_z3_re1,zirc,0.004917606,9.24E-05,8863,1385,0.02% remaining,1692203135,10000-4965-17726-001.csv
Z23PR04_z4,zirc,1.786983223,0.003514199,8864,1385,,1692204554,10000-4966-17728-001.csv
Z23PR04_z4_re1,zirc,0.005384102,0.000127042,8865,1385,0.06% remaining,1692205965,10000-4967-17730-001.csv
Z23PR04_z5,zirc,1.406886035,0.00259812,8866,1385,,1692207460,10000-4968-17732-001.csv
Z23PR04_z5_re1,zirc,0.503422354,0.001251983,8867,1385,26.19% remaining,1692208891,10000-4969-17734-001.csv
Z23PR04_z5_re2,zirc,0.005957277,0.00010184,8868,1385,,1692210399,10000-4970-17736-001.csv
std1386,std,1.183323698,0.002385497,8869,1386,,1692210996,10000-4971-17738-001.csv
Z23PR05_z1,zirc,0.091059586,0.000516689,8870,1386,,1692212661,10000-4972-17740-001.csv
Z23PR05_z1_re1,zirc,0.006482806,0.000100136,8871,1386,"2.33% remaining, moving on",1692214057,10000-4973-17742-001.csv
Z23PR05_z2,zirc,0.748480663,0.001586408,8872,1386,,1692215559,10000-4974-17744-001.csv
Z23PR05_z2_re1,zirc,0.005172676,7.38E-05,8873,1386,0.11% remaining,1692217007,10000-4975-17746-001.csv
labFCT26,zirc,1.757024094,0.002485272,8874,1386,,1692218496,10000-4976-17748-001.csv
labFCT26_re1,zirc,0.010887491,0.000130063,8875,1386,0.37% remaining,1692219994,10000-4977-17750-001.csv
Z23PR05_z3,zirc,3.034567228,0.003994632,8876,1386,,1692221499,10000-4978-17752-001.csv
Z23PR05_z3_re1,zirc,0.030344022,0.000221235,8877,1386,,1692223017,10000-4979-17754-001.csv
std1387,std,1.18023774,0.002102621,8878,1387,,1692223737,10000-4980-17756-001.csv
Z23PR05_z4,zirc,1.105466603,0.001966176,8879,1387,,1692225251,10000-4981-17758-001.csv
Z23PR05_z4_re1,zirc,0.080654451,0.000360013,8880,1387,6.46% remaining,1692226696,10000-4982-17760-001.csv
Z23PR05_z4_re2,zirc,0.024289528,0.000163945,8881,1387,1.66% remaining,1692228128,10000-4983-17762-001.csv
Z23PR05_z5,zirc,2.016871008,0.002606829,8882,1387,,1692229557,10000-4984-17764-001.csv
Z23PR05_z5_re1,zirc,0.045393898,0.000416226,8883,1387,2.00% remaining,1692231005,10000-4985-17766-001.csv
std1388,std,1.18183725,0.002049007,8884,1388,,1692231631,10000-4986-17768-001.csv
