,aliquot_type,intercept,error,QST,QRT,diff_temp,diff_time,cool_time,notes,time_of_collection,file
lb02_07012024,lb,0.003572471,7.809999999999999e-05,10237,1615,,,,,1719852828.0,10000-6330-20474-001.csv
std1616,std,1.213494937,0.0024261179999999997,10238,1616,,,,,1719853450.0,10000-6331-20476-001.csv
cb01_07012024,hb,0.0046543240000000005,0.00011724,10239,1616,0.0,7200.0,,,1719861397.0,10000-6332-20478-001.csv
RS24_G4_150_1,zirc,159.6441111,0.212649967,10240,1616,150.0,7200.0,297.0,,1719869759.0,10000-6333-20480-001.csv
RS24_G4_175_1,zirc,220.4251117,0.292333984,10242,1616,175.0,5400.0,315.0,,1719878004.0,10000-6335-20484-001.csv
RS24_G4_200_1,zirc,143.78452240000001,0.180722064,10245,1616,200.0,1800.0,331.0,,1719890614.0,10000-6338-20490-001.csv
std1617,std,1.224737403,0.0020243089999999997,10246,1617,,,,,1719894113.0,10000-6339-20492-001.csv
lb02_07022024,lb,0.003430943,8.73e-05,10248,1617,,,,,1719936647.0,10000-6341-20496-001.csv
std1618,std,1.208978743,0.002383548,10249,1618,,,,,1719937243.0,10000-6342-20498-001.csv
RS24_G4_225_1,zirc,143.7100011,0.186589797,10250,1618,225.0,1200.0,308.0,,1719939424.0,10000-6343-20500-001.csv
RS24_G4_250_1,zirc,207.3400392,0.265032553,10252,1618,250.0,900.0,300.0,,1719943057.0,10000-6345-20504-001.csv
RS24_G4_235_2,zirc,116.2113479,0.155232431,10253,1618,235.0,900.0,304.0,,1719948819.0,10000-6346-20506-001.csv
RS24_G4_210_2,zirc,69.13590218,0.07314423,10255,1618,210.0,1200.0,308.0,,1719953673.0,10000-6348-20510-001.csv
RS24_G4_185_2,zirc,37.75620912,0.045472867,10257,1618,185.0,1800.0,285.0,,1719962354.0,10000-6350-20514-001.csv
RS24_G4_160_2,zirc,27.761568,0.038618543,10258,1618,160.0,3600.0,336.0,,1719968239.0,10000-6351-20516-001.csv
std1619,std,1.21993359,0.0020498020000000003,10259,1619,,,,,1719969529.0,10000-6352-20518-001.csv
RS24_G4_175_3,zirc,45.16333136,0.040518195,10260,1619,175.0,3600.0,340.0,,1719974552.0,10000-6353-20520-001.csv
RS24_G4_195_3,zirc,48.66781235,0.07250275099999999,10261,1619,195.0,1800.0,360.0,,1719978397.0,10000-6354-20522-001.csv
std1620,std,1.219892383,0.001802688,10262,1620,,,,,1719979679.0,10000-6355-20524-001.csv
lb02_07032024,lb,0.003484695,6.929999999999999e-05,10264,1620,,,,,1720026007.0,10000-6357-20528-001.csv
std1621,std,1.210494742,0.0016784039999999999,10265,1621,,,,,1720026495.0,10000-6358-20530-001.csv
RS24_G4_205_3,zirc,54.62954869,0.084693941,10266,1621,205.0,1800.0,305.0,,1720029213.0,10000-6359-20532-001.csv
RS24_G4_220_3,zirc,74.59461441,0.126461161,10269,1621,220.0,1500.0,296.0,,1720050116.0,10000-6362-20538-001.csv
std1622,std,1.222341028,0.002373708,10270,1622,,,,,1720051427.0,10000-6363-20540-001.csv
lb02_07052024,lb,0.0033769209999999997,6.720000000000001e-05,10272,1622,,,,,1720219826.0,10000-6365-20544-001.csv
std1623,std,1.218254969,0.0018679179999999999,10273,1623,,,,,1720220683.0,10000-6366-20546-001.csv
RS24_G4_240_3,zirc,50.03173799,0.094618729,10274,1623,240.0,1500.0,325.0,,1720223632.0,10000-6367-20548-001.csv
RS24_G4_270_3,zirc,208.1644659,0.24543993,10275,1623,270.0,1500.0,311.0,,1720227428.0,10000-6368-20550-001.csv
std1624,std,1.225926351,0.002098422,10276,1624,,,,,1720231442.0,10000-6369-20552-001.csv
lb02_07082024,lb,0.003457436,9.58e-05,10278,1624,,,,,1720464739.0,10000-6371-20556-001.csv
std1625,std,1.2150594,0.0025921539999999997,10279,1625,,,,,1720465412.0,10000-6372-20558-001.csv
RS24_G4_300_3,zirc,183.1114676,0.20192408899999997,10280,1625,300.0,900.0,293.0,,1720467475.0,10000-6373-20560-001.csv
RS24_G4_285_4,zirc,182.6021322,0.279160132,10281,1625,285.0,1200.0,309.0,,1720473073.0,10000-6374-20562-001.csv
RS24_G4_260_4,zirc,99.11260391,0.149195932,10282,1625,260.0,1200.0,311.0,,1720477611.0,10000-6375-20564-001.csv
std1626,std,1.2231491540000001,0.002597584,10283,1626,,,,,1720479837.0,10000-6376-20566-001.csv
lb02_07102024,lb,0.0035170659999999997,8.669999999999999e-05,10285,1626,,,,,1720638096.0,10000-6378-20570-001.csv
std1627,std,1.214294709,0.00210266,10286,1627,,,,,1720638630.0,10000-6379-20572-001.csv
RS24_G4_230_4,zirc,0.16148805900000002,0.000632102,10287,1627,230.0,1500.0,329.0,,1720641228.0,10000-6380-20574-001.csv
RS24_G4_200_4,zirc,44.09569035,0.058227528,10288,1627,200.0,3600.0,349.0,,1720646095.0,10000-6381-20576-001.csv
RS24_G4_185_4,zirc,31.47699984,0.046529854,10289,1627,185.0,3600.0,350.0,,1720654345.0,10000-6382-20578-001.csv
std1628,std,1.218134885,0.001442748,10290,1628,,,,,1720655497.0,10000-6383-20580-001.csv
lb02_07112024,lb,0.0035012190000000003,7.54e-05,10292,1628,,,,,1720722106.0,10000-6385-20584-001.csv
