,aliquot_type,intercept,error,QST,QRT,notes,time_of_collection,file
FCT-6,zirc,0.59767553,0.001187833,6819,1028,,1673653696,10000-2930-13638-001.csv
FCT-6_re1,zirc,0.260396347,0.000854983,6820,1028,,1673654861,10000-2931-13640-001.csv
std1029,std,1.131943871,0.002242176,6821,1029,,1673655448,10000-2932-13642-001.csv
FCT-6_re2,zirc,0.005055303,0.000112852,6822,1029,,1673656563,10000-2933-13644-001.csv
PSI_134,zirc,7.786918891,0.018225127,6823,1029,,1673658013,10000-2934-13646-001.csv
PSI_134_re1,zirc,0.606854389,0.001636577,6824,1029,,1673659505,10000-2935-13648-001.csv
PSI_134_re2,zirc,0.131197201,0.000674048,6825,1029,,1673660702,10000-2936-13650-001.csv
PSI_135,zirc,12.24951343,0.024729671,6826,1029,,1673661851,10000-2937-13652-001.csv
std1030,std,1.131051687,0.002141681,6827,1030,,1673662432,10000-2938-13654-001.csv
PSI_135_re1,zirc,0.158262589,0.00033927,6828,1030,,1673663639,10000-2939-13656-001.csv
PSI_137,zirc,0.004427678,0.000105687,6829,1030,,1673664833,10000-2940-13658-001.csv
FCT-7,zirc,1.806659963,0.004232328,6830,1030,,1673666013,10000-2941-13660-001.csv
FCT-7_re1,zirc,0.238188823,0.000824611,6831,1030,,1673667207,10000-2942-13662-001.csv
FCT-7_re2,zirc,0.021815585,0.000257785,6832,1030,,1673668345,10000-2943-13664-001.csv
std1031,std,1.128498299,0.001715856,6833,1031,,1673668885,10000-2944-13666-001.csv
