,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,Th_ng,Th_ng_1s,Sm_ng,Sm_ng_1s,He_pmol,He_pmol_1s,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU
JDORN-10853_64,,1/2 abraded,240.54977551204823,3.4256272525828586,1.4240824982234424,63.76977670092613,0.7994568856600077,193.03528408977755,2.7296408686063005,1.414063175795773,0.3936204343035463,0.006945629032927227,0.6292374207779293,0.014383830605324152,0,0,0.572943202134881,0.0010441888970402363,5.566624360650779e-06,70.71079505309555,113.03752148714538,0.0,97.27461260257472
JDORN-10853_110,,"Rounded, 1/5 abraded",174.49059842171033,3.071315787833418,1.7601611866850477,66.65299736512462,0.8081539180704194,141.39195913290658,2.478283562708527,1.7527754604340502,0.3133974655429394,0.006528094400512508,0.45235491376492815,0.014701252012152867,0,0,0.323986963889658,0.0009825389020158783,5.939560101844791e-06,52.76442365581924,76.15966603729282,0.0,70.66194517458305
JDORN-10853_174,,,259.3891635967628,4.415556892677625,1.7022904239522871,30.145524039075852,0.6093100663494407,159.39161289006705,2.6546210955521414,1.665471004037736,1.0329584539837333,0.020696056345286776,0.926377461907377,0.01621293322492572,0,0,1.089905904772423,0.0031544312991493733,7.827801695194566e-07,1319.6022257664747,1183.4452353028742,0.0,1597.71185606265
FCT-2,,,28.864998607482192,0.5459756057087084,1.89147975765772,68.31990723944223,0.8162610727281746,23.572876834127403,0.4438724810050614,1.8829796809630353,2.9751277410879986,0.06394584138594982,1.5957754258599837,0.03514893721927341,0,0,0.4267198762172732,0.0013976273121555965,1.51074396e-05,196.93130138928365,105.62844983076972,0.0,221.75398709951452
FEE-44,,Triangular. 1/2 abraded,640.4376074167814,11.204715222992144,1.74954048501096,53.38321720376812,0.7656710976854976,496.5092083234949,8.581766757839967,1.7284204631001758,0.26879708775244604,0.004977112736117056,0.28237257334384397,0.011284315743475309,0,0,0.9358195220472723,0.0027093482505278887,3.4163802231769227e-06,78.67891458009004,82.6525605751409,0.0,98.10226631524814
JDORN-14349_60,,1/5 abraded away,155.08702838495654,3.161024842678292,2.0382264562010985,41.0312660388787,0.7012041765187111,109.16304278667187,2.19508173095507,2.01082864211172,0.40140902929930966,0.010042400071727527,0.45953062200944356,0.010855720859367451,0,0,0.3028014928274118,0.0011331279120085217,1.469628822848528e-06,273.1363341944214,312.68481868690634,0.0,346.6172665858444
JDORN-14349_75,,Almost no loss of crystal ,13.781447317533615,1.3097331309983806,9.503596398994004,66.13281140171658,0.8097956750077503,11.163169039512944,1.060515258480252,9.50012720157217,0.3579440127306544,0.007649256593515681,0.24609951322991563,0.007470512256847282,0,0,0.025059340403910148,0.0023344221105482225,8.900034e-06,40.218274753855376,27.651525064950953,0.0,46.71638314411885
JDORN-14349_93,,,309.52578521798785,7.443947857108542,2.4049524183796316,61.69880650697451,0.7942917526421438,247.11233890065765,5.9013335964396,2.388117737338892,0.19587100895165402,0.005478568620368473,0.2528425565602206,0.01143969023926586,0,0,0.3473237901064911,0.0011990296104705332,4.565905547026676e-06,42.89861166296037,55.37621266056894,0.0,55.91202163819407
FCT-3,,,82.2016074690845,1.2993339084342428,1.5806672745699215,60.8760661472888,0.7913217663233277,65.14045180552306,1.0284777745930205,1.5788618993057384,0.33447985559377647,0.005658815161328289,0.46305367085987514,0.01446994315157422,0,0,0.15672320260221217,0.0009540314089072701,9.810867733333332e-06,34.09279022867164,47.198034205130234,0.0,45.184328266877245
JDORN-14349_167,,dog tooth shaped. Very jagged. Maybe 1/2 abraded,31.952951712905374,0.4468437407490782,1.398442762859382,51.8854164180182,0.7617133484867489,24.35602030139199,0.33873880164733267,1.3907805850694466,1.3653090688312717,0.021291176019453007,0.852954003877405,0.018361680634208285,0,0,0.20610575166450962,0.0007799485403055053,3.1800143317431956e-06,429.3405395072063,268.2233206822811,0.0,492.3730198675423
JDORN-14349_204,,Only 1 tip.,152.29234156048688,2.5924010782321285,1.7022530822421487,59.14400745420327,0.7862610711929198,120.0598780805767,2.027271614988838,1.6885504528234316,0.28918977397494827,0.0060036484026802376,0.35384155905834147,0.00831226533823096,0,0,0.24364411612396128,0.0008599173260937672,5.7754978e-06,50.07183518881235,61.265984562982865,0.0,64.46934156111332
LASS_55,,,1478.6477484636612,25.620149709446434,1.7326743124632746,49.23362429473657,0.7473807980701459,1142.0899129155787,19.055304780887248,1.6684592487330536,0.4157320665351797,0.0076092777286602045,0.4437042011014706,0.011781487082427645,0,0,3.540076303230034,0.005247038527921467,2.5447882241781563e-06,163.3660760393691,174.35800625207847,0.0,204.34020750860753
FCT-4,,,29.38269872599096,0.583509363128479,1.9858943814862247,92.55439574449373,0.8624866969911728,25.351572205393854,0.5018571772884182,1.9795899568770807,5.172368390103425,0.11763428015975375,2.7004790545203403,0.07265894799263438,0,0,0.7955720886104567,0.001296948281433787,2.7848675999999998e-05,185.73121358097688,96.96974658760584,0.0,208.51910402906427
Greg_52,,1/5 abraded,789.4344140474035,23.345067676610174,2.9571890028103542,61.92201720702376,0.7969786848735123,637.8568144361196,18.500901027353482,2.9004786981399127,0.425019399115432,0.014212029201200899,0.35107007686795993,0.011454280401701322,0,0,1.8452749516348106,0.0027802462199101067,5.1795022342307085e-06,82.0579623089126,67.78065941313433,0.0,97.98641727099915
