,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,U_ng_1s_%,Th_ng,Th_ng_1s,Th_ng_1s_%,Sm_ng,Sm_ng_1s,Sm_ng_1s_%,He_pmol,He_pmol_1s,He_pmol_1s_%mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU,He_pmol_1s_%,mass_morph_g
FCTVV_Z1_EM,,"clear, inclusions present, little rough on edges",25.93235157705909,0.4156877037478847,1.6029695668464579,51.65016446332301,0.7606754404412135,19.73758515902075,0.31486343712719356,1.5952480234558493,2.1568101077873885,0.03544094778266316,1.6432113172457747,1.3593165476972626,0.02839992746931234,2.0892799044801573,0,0,0,0.2640476168946632,0.0019982794450931433,,364.98312149213655,230.02840856649414,0.0,419.03979750526264,0.7567875327162369,5.909342051133333e-06
Z22POC1_2,,"darkish, zircon inclusion",76.7485736896654,1.3817790757471267,1.8003970749142277,61.857105966094295,0.7997556017514957,61.46400187015991,1.1022278054535992,1.7932900102762728,6.286975345832033,0.11180137676341599,1.7783014981526055,1.654541711526529,0.03671945355725322,2.219312653252771,0,0,0,2.2236335588958287,0.016822012957966884,,794.208770902121,209.01172135006547,0.0,843.3265254193864,0.7565101223926505,7.916023564799999e-06
Z22POC1_3,,"purplish, big zircon inclusion, not clear (maybe crushed)",74.63634580037659,1.5578289968314052,2.0872257076974217,57.01176273642842,0.7838214276681816,58.58551987116436,1.217367834614096,2.07793297267177,2.6805533003755686,0.05688802740388831,2.12224943991667,0.7146593872550866,0.0182611953700861,2.555230602962478,0,0,0,0.9041383544113685,0.00679396021428816,,401.34864880422384,107.00312483616592,0.0,426.49438314072285,0.7514292675606389,6.6788646439e-06
Z22POC1_6,,"little fractures otherwise clear, dark on edges and tips",72.5514996729845,1.4493748055793216,1.997718602802383,51.03899245310586,0.760262229237181,55.24345659675782,1.0979897003318462,1.9875470652505949,4.2049674688446625,0.08529042057492131,2.028325336803505,1.1861765345287634,0.023616685803451658,1.9909924969839283,0,0,0,1.3416104691714645,0.00997773478945663,,823.254031700331,232.23119360479544,0.0,877.8283621974579,0.7437132475284394,5.107739904000001e-06
Z23TR01_1_NM,,"Long, Yellowish, Dirty, fractured and inclusions",31.46769385024117,0.544399683532128,1.7300272658142557,46.230551396255,0.7375047918578068,23.22485594300716,0.4000642641664884,1.722569410756431,7.394053509371291,0.12604396797327588,1.704666700254828,1.9373585473112762,0.03588997193378198,1.852520896743205,0,0,0,0.9845254836649215,0.0073733306631434715,,1382.7479073573033,362.3017433807068,0.0,1467.8888170517694,0.7489222763128546,5.347361923333334e-06
Z23TR01_2_NM,,"clear, rusty light orangish color, inclusions",51.10220447117837,0.9964032579148968,1.9498244121285768,36.81209068947628,0.6780467696564253,34.700509499787096,0.6729068198550021,1.9391842643092336,2.183017925233243,0.04202832413438524,1.9252395341597919,0.38122456672617194,0.008159117228529432,2.140239098072084,0,0,0,0.426267908807277,0.003214084815502061,,1267.2878169805172,221.30887857649412,0.0,1319.2954034459933,0.7540058139716082,1.7225904770666663e-06
Z23TR01_3_Mag,,"dark or cloudy, little curved and broken at bottom tip (Lost and Found)",18.29118260537012,0.3366495611329425,1.8405018876915333,48.362729015461895,0.7443930210190417,13.622232756150781,0.2490368881511196,1.828164975662108,15.69002028359295,0.31978994046673015,2.0381741685900456,13.303582819614254,0.2617274297550407,1.9673454384721127,0,0,0,1.3845547893237982,0.010394869291950307,,3642.1942995415234,3088.2199406552813,0.0,4367.925985595514,0.7507734162710202,4.307848234666667e-06
FCTVV_Z2_EM,,"clear, zircon inclusions",31.88100636510535,0.5215904520059822,1.6360539125793643,42.01515631020094,0.7093212823578849,22.633334420629442,0.3676220341120661,1.6242504408762337,1.7299930858739707,0.02978549331686494,1.7217116970047126,1.4672563598585844,0.02665670738885966,1.8167723186034688,0,0,0,0.2538476273326664,0.0020244644565194344,,565.2534505694676,479.4075346613731,0.0,677.9142212148903,0.7975116717818996,3.0605617429333332e-06
Z23TR01_4_Mag,,Yellowish but clear. Darker on tips with no inclusions,17.116736092450978,0.2597269894456874,1.5173861888320823,44.753321545631415,0.7312482158141591,12.521557552671311,0.18955476249091674,1.5138273469060382,8.093740773442272,0.11174367579144626,1.3806184176061969,0.45668736360240786,0.007953067278344286,1.7414686527802044,0,0,0,0.5538077969932956,0.004177414067055457,,2750.9232999415585,155.22018118557017,0.0,2787.4000425201675,0.7543075575561151,2.942190636e-06
Z23TR01_5_Mag,,"inclusions present, zonation with core?",24.347242604336383,0.42944292029925457,1.7638256917962791,40.149488813191475,0.7000925836311223,17.056906080601316,0.2989810394637104,1.75284449624624,6.167736770070571,0.11171276874445292,1.8112441063721774,2.679351092703842,0.0476031650324148,1.7766676850243062,0,0,0,0.6260169602299668,0.004609801250792747,,1835.3261529820068,797.2913431265018,0.0,2022.6896186167346,0.7363700256777932,3.3605671449999977e-06
