,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,Th_ng,Th_ng_1s,Sm_ng,Sm_ng_1s,He_pmol,He_pmol_1s,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU,U_ng_1s_%,Th_ng_1s_%
RS_FCT_14,,,27.857947564598245,0.5052394157226964,1.8136275637360748,62.759100740893786,0.8011154249500098,22.328832174288358,0.4032978379624668,1.8061752393251633,2.654266840057698,0.049160401128931115,1.339112843561438,0.02092705877965835,0,0,0.3581523556564416,0.002978027329176247,8.240336027242667e-06,322.1066266330226,162.50706756791374,0.0,360.29578751148233,1.8521273139162784,1.5627554376972286
RS21_RVG-1_Zr1,,,528.8587536634659,10.257194727641457,1.9394960670668075,45.0604562548876,0.7285535204004107,390.09503374480863,7.43401689134419,1.9056938049119991,1.6702070426903637,0.032617189231590446,1.0732728462483974,0.02680381737079144,0,0,4.184141737940541,0.033187621086746166,3.5428409418239995e-06,471.4315630073059,302.9413015916635,0.0,542.6227688813468,1.9528829898268656,2.4973908046293745
RS21_RVG-1_Zr2,,,624.1392092460176,9.671350754844804,1.5495502624371478,74.39599800528616,0.8299511872004657,522.7722601277535,8.003030315780483,1.530882743056169,5.791190256598886,0.08490392342981497,3.850749063159136,0.05791344809571841,0,0,19.763642866308274,0.1548746329168233,1.4594949227699995e-05,396.79413516613613,263.8412099338267,0.0,458.7968195005854,1.4660876204692035,1.50395279323152
RS21_RVG-1_Zr3,,,929.8885437234604,18.64266828341482,2.0048282570259266,57.511830648645585,0.7827486958475617,740.7702444835377,14.526933279172185,1.9610578836492427,1.557472943723909,0.03109194833499225,1.1900686004220589,0.026983421536040286,0,0,7.833831883022485,0.061467845703283036,7.1548411365036e-06,217.68099584738073,166.33054147776886,0.0,256.7686730946564,1.9963074453577072,2.267383705987251
RS21_RVG-1_Zr4,,,823.0570123474076,15.725570470353864,1.9106295474603394,46.91890156482504,0.7387348589372776,619.6289426870215,11.555024221747896,1.8648296465364451,2.1634716061326413,0.04018450750937127,1.2848488026921978,0.022995161750802094,0,0,8.705318869537317,0.0682581204154239,3.8587019558266665e-06,560.6734158013381,332.97435702492317,0.0,638.9223897021951,1.8574085925353983,1.7897173350373492
RS21_CCG-2_Zr1,,,582.1051346902797,9.821727810373996,1.6872773018227778,45.42228304079982,0.7329743390607685,432.65765823143647,7.176733643559682,1.658755717602649,1.2903732230526008,0.019723226761963437,0.38014500635868337,0.011281777062353518,0,0,3.347750633965319,0.026274280568984502,3.5978591384528006e-06,358.6502899075433,105.6586685942792,0.0,383.48007702719894,1.5284900840785223,2.9677562176651797
RS21_CCG-2_Zr2,,,889.4960873758824,16.36858184487915,1.840208414313365,42.500424121679224,0.7147165514598297,650.2977460006051,11.645853699229582,1.7908494640882153,0.793717497585399,0.013563668415558333,0.3941216327639274,0.010116448014679426,0,0,3.2961031200048625,0.025882221513832786,3.0674286591199987e-06,258.7566283654353,128.4859980662094,0.0,288.9508379109945,1.7088785943135856,2.566833985674422
RS_FCT_15,,,28.990184890787727,0.4678968012235297,1.613983501609934,36.32727535009681,0.6709367126519911,19.46781372307704,0.31250163684797033,1.6052220413303657,0.897093810988351,0.013962228731210393,0.4940850610827188,0.013278448221960166,0,0,0.10654649404729434,0.0009036011197341725,1.6459630274331998e-06,545.0267083989886,300.17992679533074,0.0,615.5689911958914,1.5563844672864093,2.687482230865732
RS21_CCG-2_Zr3,,,833.2837782723926,17.6302551488978,2.115756433594539,37.678339220480375,0.6782097563202267,578.0458878770842,11.837754669694368,2.047891857369557,0.5343986169632428,0.012120102078679347,0.5432793466046167,0.009161194799592537,0,0,2.16774346105215,0.016971778409241505,2.1861602008986668e-06,244.4462289376447,248.50847910472913,0.0,302.84572152725605,2.2679890430017706,1.6862770243058391
RS21_WRG-5_Zr1,,,846.0764512681989,16.623375084129226,1.9647604018776503,48.13367324618579,0.7470896542855742,644.579011676506,12.38431092261215,1.9213022295593216,0.5243788031877116,0.009335887610793344,0.13583835413542947,0.005495580867857124,0,0,2.0529334100414682,0.0160866805693947,3.4932278018817666e-06,150.11297084754509,38.886199766947556,0.0,159.25122779277777,1.7803708986786373,4.045676865591352
RS21_WRG-5_Zr2,,,826.87024235622,15.109372195650877,1.827296644827337,57.966995604025335,0.7868645274902455,661.1260948767249,11.85639538629248,1.7933636984187187,2.3865399956708444,0.03952864496770989,0.7475816565618544,0.018688366542417983,0,0,9.709959942006243,0.0761666701967451,8.42577296982693e-06,283.24285548841044,88.72558746111218,0.0,304.0933685417718,1.6563160491512563,2.4998428437056925
RS21_WRG-5_Zr3,,,416.5506275662004,8.379684592737428,2.011684544012765,57.55247352256157,0.785174473106042,329.66394587554305,6.5561625561319135,1.9887411523633949,5.6846698741036015,0.11378493916924479,2.0162827758989326,0.03193853484024655,0,0,11.27455844428894,0.08428575027302776,9.6998850416948e-06,586.0553861894383,207.8666672060518,0.0,634.9040529828604,2.001610325475359,1.5840305349038746
RS21_WRG-5_Zr4,,,515.7515130253254,20.218301672326415,3.9201633270504086,56.9372537608937,0.7824278224208694,407.5378692207349,15.748022492951295,3.8641862958805646,4.271845302273389,0.17846460653729357,1.9259254615045578,0.07599746700487375,0,0,10.766202284028102,0.08086459543388655,8.347315827437997e-06,511.762749916763,230.7239238719057,0.0,565.9828720266609,4.177693570558802,3.9460232768044694
