,analysis_notes,morph_notes,corrected_date,corrected_1s,corrected_1s_%,radius,Ft,uncorrected_date,uncorrected_1s,uncorrected_1s_%,U_ng,U_ng_1s,Th_ng,Th_ng_1s,Sm_ng,Sm_ng_1s,He_pmol,He_pmol_1s,mass_morph_g,U_ppm,Th_ppm,Sm_ppm,eU,U_ng_1s_%,Th_ng_1s_%
RS_DUR_5,,,39.39901034966497,6.162164839693574,15.640405139633092,NaN,1,39.39901034966497,6.162164839693574,15.640405139633092,0.191100388005512,0.004551880235284729,4.047617693582926,0.7592070829465182,3.1566988580310142,0.19128700050933567,0.24572751236425683,0.0018561028945900772,NaN,0,0,0,0,2.3819314459756287,18.756887147473474
RS21_GSs-1_Ap1,,,4847.3927797632605,2303.7448828592965,47.52544280044515,33.51157043501795,0.5531455169737125,3163.877332636867,1288.9372398792714,40.73916604108775,0.00046010102931489137,0.00023152146199810123,0.008206104331234552,0.0034254929023637966,0.001570402221284651,0.0014650744490945903,0.04783166666939802,0.0003823979137523146,7.137454722648551e-07,0.6446289989832091,11.49724187418656,2.200227227083424,3.3464808394170507,50.319700945430576,41.74322874893859
RS21_GSs-1_Ap2,,,19.142301251220488,10.933569691361658,57.1173212032934,36.19237692519058,0.5882683441480144,11.27025592394769,6.4569176245301785,57.29166815821943,0.0005833864085480248,0.00030091711601265954,0.0048454606643795195,0.0023384544763096287,0.0004579456153728299,0.001048453851268739,0.0001053658231852777,4.683036614843912e-05,1.1876964983389202e-06,0.49119148651522765,4.079712848489701,0.3855746110334586,1.4499240059103073,51.581098154412665,48.26072562099887
RS21_GSs-1_Ap3,484 degC max temp,,772.0695733129473,690.3009662643381,89.40916597739495,36.48844903582263,0.599012282538342,471.91498292288213,423.1904440171055,89.67514474662507,0.0003757400151106745,0.0002986738542433107,0.0015451224958336392,0.0024382797486292985,-0.00011215052964482987,0.001277557240499034,0.001943090715932952,5.9720316609286115e-05,1.1987739286876111e-06,0.313436925944849,1.2889190020383594,-0.09355436163648435,0.6163328914238635,79.48949865117136,157.80494784096547
RS21_GSs-1_Ap4,,,27.539737309402245,39.79407885672176,144.49694421426383,31.97018627738391,0.5572545276523079,15.374059956519947,22.96582963714595,149.38038294436618,0.00031861307808264574,0.0003366401472565063,0.0007906237207895447,0.002681153108676436,0.00046831433659201316,0.0010502082120605741,4.202368615838231e-05,2.0626612826735547e-05,5.959716859985735e-07,0.53461109909743,1.3266128901154495,0.7857996404767694,0.8463651282745606,105.657981550018,339.1187284387246
RS21_WRG-4_Ap1,,,2988.352385451,101.3714395181213,3.392218401405911,51.25084004450001,0.7099358832057128,2314.664619976212,73.07297468468929,3.1569573429363715,0.033810109058053345,0.0008950719374715796,0.06606342784756743,0.0037363490958747317,0.5406178034508887,0.024157639919595353,0.7660991697841996,0.005745826914503084,2.5716542667413366e-06,13.147221807889329,25.689078311167965,210.22180564572187,19.1841552110138,2.647350045321369,5.655699708007674
RS21_WRG-4_Ap2,,,187.14659780576068,2.9192465619403385,1.5598715638796823,38.558684388375745,0.6229703203660178,117.64439249719632,1.8384503442082742,1.5627182096690992,0.25662754755514783,0.004246048076595517,0.6600844432071411,0.016359518721791356,3.3085433057303293,0.1354588622390064,0.26659747885993784,0.002030142469176368,1.0679209322075234e-06,240.3057565550918,618.1023550523219,3098.116354823353,385.5598099923874,1.6545566199135597,2.478397861083597
RS_DUR_6,,,31.49482896338806,5.631594354397389,17.881012660662407,NaN,1,31.49482896338806,5.631594354397389,17.881012660662407,0.07131884343076225,0.002599186950342718,1.4363196624763304,0.31094058753113746,1.3969018637797403,0.08340836862462771,0.07033762090820672,0.0005589979973688771,NaN,0,0,0,0,3.644460321157704,21.648425183781924
RS21_WRG-5_Ap1,,,289.09385355226476,10.703696855503832,3.702498937276344,38.59949018982269,0.623517556393897,183.2826390570707,6.767431014421902,3.692346994367892,0.021875026524352883,0.0010631489426786236,0.05522051021777475,0.0031353930317434744,0.6575266970197233,0.020089518481617115,0.03576567608153973,0.0003213583771757206,1.8029378135774293e-06,12.132990034164278,30.628072583493594,364.6973800582973,19.330587091285274,4.860103559166195,5.677950130084515
RS21_WRG-5_Ap2,,,203.24048511916124,5.254227989294953,2.5852270457898014,41.23299735953426,0.6560210129347279,134.55159465779448,3.469279629345463,2.5784009756026256,0.06104820596518727,0.0016081368617189913,0.03297003724358682,0.002796960486802209,0.5196509313548809,0.018246231492987167,0.050957755237486545,0.0004049257586918578,1.417447483912481e-06,43.06911307689523,23.26014728431556,366.61035929213045,48.53524768870938,2.6342082233113144,8.483340392180665
NH18-04_Ap1,,,77.16316604922699,1.5243014433303075,1.9754262575979125,41.63231038060395,0.6494958294717821,50.34539361789759,0.9874011661029554,1.9612542382664737,0.139925893807775,0.0034543561536693437,0.2971629728609316,0.007806554441314373,1.1372001326682946,0.05901360790892254,0.05765899387582869,0.0004447521941939893,1.5482113100233313e-06,90.37906705749768,191.9395439996194,734.5251422114706,135.48485989740823,2.468704011578307,2.627027979346451
NH18-04_Ap2,,,458.2127800374661,12.43747368022998,2.7143445626315836,32.71483049394447,0.5747189451028476,268.21154034957885,7.25592516510355,2.705299390043544,0.03609997963719761,0.0009510228751225342,0.036696889694826096,0.002873588031690776,0.1782926113692659,0.0066958479838896065,0.06648819312949987,0.0005077196972994766,8.989802458746011e-07,40.156588315326786,40.820574048459065,198.32761864061692,49.74942321671467,2.634413882446059,7.830603780286928
